indx,BRANCH_NAME,CUSTOMER_CLASS,year,Amount,Accounts,BRANCH_NAME_En,CBU
50,النماص,COM,2023,141355.85,10,Alnamas,AS
51,النماص,RES,2023,165258.72,69,Alnamas,AS
52,الواديين,RES,2023,31144.80,4,Alwadieen,AS
53,بدر الجنوب,GOVT,2023,10284.47,93,Badr Al Janub,NJ
54,بدر الجنوب,RES,2023,96354.62,2184,Badr Al Janub,NJ
55,بلجرشي,COM,2023,754542.58,1304,Baljorashi,BA
56,بلجرشي,GOVT,2023,1507390.99,2484,Baljorashi,BA
57,بلجرشي,RES,2023,6125074.17,88040,Baljorashi,BA
58,بلجرشي,TANKER,2023,612768.14,24,Baljorashi,BA
59,بيش,COM,2023,83454.13,43,Baish,JZBU
60,بيش,GOVT,2023,2465680.75,1543,Baish,JZBU
61,بيش,RES,2023,3121772.94,23731,Baish,JZBU
62,بيش,TANKER,2023,438396.20,11,Baish,JZBU
63,بيشة,COM,2023,409222.16,242,Bishah,AS
64,بيشة,GOVT,2023,12234291.45,716,Bishah,AS
65,بيشة,RES,2023,4656514.66,39022,Bishah,AS
66,بيشة,TANKER,2023,576810.89,9,Bishah,AS
67,تنومة,RES,2023,37442.47,20,TANOOMAH,AS
68,ثار,GOVT,2023,39138.05,129,Thar,NJ
69,ثار,RES,2023,183789.87,1344,Thar,NJ
70,ثار,TANKER,2023,354290.34,4,Thar,NJ
71,جازان - الرئيسي,COM,2023,6622605.15,1815,Jazan - Main,JZBU
72,جازان - الرئيسي,GOVT,2023,9218597.99,2403,Jazan - Main,JZBU
73,جازان - الرئيسي,RES,2023,21273368.43,103098,Jazan - Main,JZBU
74,جازان - الرئيسي,TANKER,2023,2494823.41,23,Jazan - Main,JZBU
75,حبونا,COM,2023,5008.06,45,Hubuna,NJ
76,حبونا,GOVT,2023,95976.95,358,Hubuna,NJ
77,حبونا,RES,2023,1406777.77,16119,Hubuna,NJ
78,حبونا,TANKER,2023,597990.98,2,Hubuna,NJ
79,خباش,COM,2023,1070.95,44,Khubash,NJ
80,خباش,GOVT,2023,15962.29,51,Khubash,NJ
81,خباش,RES,2023,115968.98,3311,Khubash,NJ
82,خميس مشيط,COM,2023,7831733.50,1858,Khamis Mushait,AS
83,خميس مشيط,GOVT,2023,40080004.64,2177,Khamis Mushait,AS
84,خميس مشيط,RES,2023,34972555.36,226569,Khamis Mushait,AS
85,رجال المع,RES,2023,12360.00,2,REJAL ALMA,AS
86,شروره,COM,2023,83620.01,398,Sharurah,NJ
87,شروره,GOVT,2023,201059.89,1192,Sharurah,NJ
88,شروره,RES,2023,4432497.32,32496,Sharurah,NJ
89,شروره,TANKER,2023,1228846.32,22,Sharurah,NJ
90,صامطة واحد المسارحة,COM,2023,210696.35,215,Samtah Ahad Al Masarihah,JZBU
91,صامطة واحد المسارحة,GOVT,2023,3765749.38,1090,Samtah Ahad Al Masarihah,JZBU
92,صامطة واحد المسارحة,RES,2023,11287879.29,87982,Samtah Ahad Al Masarihah,JZBU
93,صامطة واحد المسارحة,TANKER,2023,264382.68,11,Samtah Ahad Al Masarihah,JZBU
94,صبيا,COM,2023,349640.70,115,Sabya,JZBU
95,صبيا,GOVT,2023,2059014.81,897,Sabya,JZBU
