indx,BRANCH_NAME,CUSTOMER_CLASS,year, Amount ,Accounts,BRANCH_NAME_En,CBU
26,العارضة,GOVT,2023," 147,483 ",157,AL Aridhah,JZBU
27,العارضة,RES,2023," 1,835,902 ",22698,AL Aridhah,JZBU
28,العقيق,COM,2023," 109,577 ",51,Al Aqiq,BA
29,العقيق,GOVT,2023," 1,244,469 ",1288,Al Aqiq,BA
30,العقيق,RES,2023," 3,571,582 ",25824,Al Aqiq,BA
31,العقيق,TANKER,2023," 65,743 ",10,Al Aqiq,BA
32,العيدابي,COM,2023," 85,679 ",130,Al Edabi,JZBU
33,العيدابي,GOVT,2023," 460,732 ",316,Al Edabi,JZBU
34,العيدابي,RES,2023," 2,247,963 ",17924,Al Edabi,JZBU
35,العيدابي,TANKER,2023," 1,700,896 ",26,Al Edabi,JZBU
36,القرى,COM,2023," 118,183 ",429,Al Qara,BA
37,القرى,GOVT,2023," 432,675 ",1917,Al Qara,BA
38,القرى,RES,2023," 2,351,242 ",35518,Al Qara,BA
39,القرى,TANKER,2023," 567,387 ",63,Al Qara,BA
40,المجاردة,RES,2023," 785,417 ",820,Almajardah,AS
41,المخواه وغامد الزناد,COM,2023," 130,575 ",242,Al Makhwah and Ghamid Al Zinad,BA
42,المخواه وغامد الزناد,GOVT,2023," 1,130,701 ",1675,Al Makhwah and Ghamid Al Zinad,BA
43,المخواه وغامد الزناد,RES,2023," 2,601,445 ",23287,Al Makhwah and Ghamid Al Zinad,BA
44,المخواه وغامد الزناد,TANKER,2023," 430,325 ",12,Al Makhwah and Ghamid Al Zinad,BA
46,المندق و بني حسن,COM,2023," 89,147 ",194,Al Mandaq and Bani Hassan,BA
47,المندق و بني حسن,GOVT,2023," 614,692 ",2420,Al Mandaq and Bani Hassan,BA
48,المندق و بني حسن,RES,2023," 2,933,267 ",50503,Al Mandaq and Bani Hassan,BA
49,المندق و بني حسن,TANKER,2023," 844,523 ",49,Al Mandaq and Bani Hassan,BA
50,النماص,COM,2023," 141,356 ",10,Alnamas,AS
51,النماص,RES,2023," 165,259 ",69,Alnamas,AS
52,الواديين,RES,2023," 31,145 ",4,Alwadieen,AS
53,بدر الجنوب,GOVT,2023," 10,284 ",93,Badr Al Janub,NJ
54,بدر الجنوب,RES,2023," 96,355 ",2184,Badr Al Janub,NJ
55,بلجرشي,COM,2023," 754,543 ",1304,Baljorashi,BA
